eta,K,up_final,bcrp_final,avg_log_regret,runtime
0.25,35,4.5828153436949375,7.462964120966631,9.694615455518003e-5,0.0847307
0.2,51,4.7190003700404874,7.513414981376475,9.246383614546572e-5,0.069869
0.125,165,4.675448783968919,7.4972511560069695,9.387898332476344e-5,0.1928586
0.1,269,4.765646304844587,7.513414981376475,9.050833463388646e-5,0.309448
0.05,1701,4.778588917832036,7.514916560175006,9.000887129072056e-5,1.7349535
